id,participant,question,session,value,study
405,jold_ll -- achqt,jold-mslq-22,jold_ll.1.1,1,jold_ll
404,jold_ll -- achqt,jold-mslq-8,jold_ll.1.1,2,jold_ll
403,jold_ll -- achqt,jold-mslq-13,jold_ll.1.1,1,jold_ll
402,jold_ll -- achqt,jold-mslq-18,jold_ll.1.1,3,jold_ll
401,jold_ll -- achqt,jold-mslq-23,jold_ll.1.1,2,jold_ll
400,jold_ll -- achqt,jold-mslq-9,jold_ll.1.1,1,jold_ll
399,jold_ll -- achqt,jold-mslq-14,jold_ll.1.1,3,jold_ll
398,jold_ll -- achqt,jold-mslq-19,jold_ll.1.1,2,jold_ll
397,jold_ll -- achqt,jold-mslq-24,jold_ll.1.1,4,jold_ll
396,jold_ll -- achqt,jold-mslq-5,jold_ll.1.1,2,jold_ll
395,jold_ll -- achqt,jold-mslq-10,jold_ll.1.1,1,jold_ll
394,jold_ll -- achqt,jold-mslq-15,jold_ll.1.1,6,jold_ll
393,jold_ll -- achqt,jold-mslq-20,jold_ll.1.1,1,jold_ll
392,jold_ll -- achqt,jold-mslq-25,jold_ll.1.1,2,jold_ll
391,jold_ll -- achqt,sims-18,jold_ll.1.1,2,jold_ll
390,jold_ll -- achqt,sims-17,jold_ll.1.1,0,jold_ll
389,jold_ll -- achqt,sims-16,jold_ll.1.1,0,jold_ll
388,jold_ll -- achqt,sims-15,jold_ll.1.1,0,jold_ll
387,jold_ll -- achqt,sims-14,jold_ll.1.1,1,jold_ll
386,jold_ll -- achqt,sims-13,jold_ll.1.1,2,jold_ll
385,jold_ll -- achqt,sims-12,jold_ll.1.1,1,jold_ll
384,jold_ll -- achqt,sims-11,jold_ll.1.1,1,jold_ll
383,jold_ll -- achqt,sims-9,jold_ll.1.1,3,jold_ll
382,jold_ll -- achqt,sims-8,jold_ll.1.1,1,jold_ll
381,jold_ll -- achqt,sims-7,jold_ll.1.1,0,jold_ll
380,jold_ll -- achqt,sims-6,jold_ll.1.1,0,jold_ll
379,jold_ll -- achqt,sims-5,jold_ll.1.1,3,jold_ll
378,jold_ll -- achqt,sims-4,jold_ll.1.1,1,jold_ll
377,jold_ll -- achqt,sims-3,jold_ll.1.1,0,jold_ll
376,jold_ll -- achqt,sims-2,jold_ll.1.1,0,jold_ll
375,jold_ll -- achqt,jold-tlx-6,jold_ll.1.1,20,jold_ll
374,jold_ll -- achqt,jold-tlx-5,jold_ll.1.1,18,jold_ll
373,jold_ll -- achqt,jold-tlx-4,jold_ll.1.1,1,jold_ll
372,jold_ll -- achqt,jold-tlx-3,jold_ll.1.1,16,jold_ll
371,jold_ll -- achqt,jold-tlx-2,jold_ll.1.1,2,jold_ll
370,jold_ll -- achqt,jold-tlx-1,jold_ll.1.1,17,jold_ll
369,jold_ll -- achqt,jold-1,jold_ll.1.1,2,jold_ll
